company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
361502,(주)디에스아키종합건설,1.0,3,1.0,1.3,1.3,1.0,1.0,1.0,0%,0%,0%,디에스아키종합건설
81448,(주)더샵스토리,1.9,18,1.9,1.7,2.6,2.0,1.8,1.9,11%,28%,0%,더샵스토리
269909,에스오에이치(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에스오에이치
415960,에이씨이엠에이인슈코리아(유),4.0,1,4.0,3.0,4.0,4.0,4.0,5.0,100%,0%,0%,인슈코
368348,(주)디엔와이,1.7,7,1.7,1.7,1.6,2.3,2.6,1.6,0%,14%,14%,디엔와이
57464,(주)일지테크,2.5,179,2.5,2.4,2.2,2.4,2.5,2.2,26%,31%,17%,일지테크
450757,(주)한동이엔지,4.0,1,4.0,4.0,5.0,5.0,4.0,4.0,0%,100%,0%,한동이엔지
409903,(유)성현이엔지,1.0,1,1.0,1.0,5.0,1.0,1.0,1.0,0%,0%,0%,성현이엔지
48752,(주)한국시세이도,2.3,324,2.3,2.2,2.5,2.2,2.3,1.9,23%,31%,6%,이도
7630,케이에이치테크,1.3,8,1.3,1.1,1.4,1.3,1.4,1.1,0%,0%,0%,이에이치테크
95173,(주)퓨젠바이오,3.5,11,3.5,2.6,3.6,3.2,3.7,3.4,55%,56%,45%,퓨젠
326291,(주)현대솔라원,2.0,1,2.0,1.0,5.0,1.0,1.0,1.0,0%,0%,0%,솔라원
269921,레드후드(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,레드후드
370986,(주)엠엠에스테크,4.0,1,4.0,4.0,4.0,5.0,4.0,5.0,100%,100%,0%,엠엠에스테크
150531,상아테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,상아테크
81936,대원농산,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대원농산
155903,브라토(주),2.0,4,2.0,1.5,3.0,1.8,1.0,1.5,0%,25%,25%,브라토
374486,(주)킨다그로스,3.4,89,3.4,3.4,4.3,3.6,3.2,3.0,58%,61%,45%,그로스
341842,화이트디자인(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,화이트디자인
360966,(주)피앤씨랩스,2.2,124,2.2,2.3,2.3,2.0,2.1,1.8,16%,27%,13%,피앤씨랩스
44165,그랜드코리아레저(주),3.1,544,3.1,3.5,3.4,2.4,2.0,2.4,53%,42%,14%,그랜드코리아레저
98325,라은엘앤씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,라은엘앤씨
203603,(주)피에스디테크놀러지스,1.3,24,1.3,1.3,1.9,1.8,1.7,1.5,0%,8%,0%,에스디테크
138728,엘지건재산업(주),3.0,1,3.0,4.0,4.0,3.0,3.0,3.0,0%,0%,100%,엘지건재산업
163953,팀에어월드(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,팀에어월드
315229,어진샘 노인종합복지관,1.5,22,1.5,1.6,1.8,1.5,1.7,1.4,5%,5%,0%,어진
390287,(주)스탠더스,2.5,2,2.5,2.5,2.0,2.0,3.0,1.0,0%,50%,0%,스탠더스
275071,성림이엔씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성림이엔씨
9120,참바다영어조합법인,2.3,14,2.3,2.1,2.0,1.9,2.6,2.1,7%,23%,29%,동강공산자율어업공동체 영어조합법인
245355,에스피에프에이(주),2.3,3,2.3,3.0,1.0,3.0,3.7,1.7,33%,0%,0%,에스피에프에이
166739,성지영농조합법인,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성지영농조합법인
87131,(주)씨에스리더,3.1,184,3.1,3.4,3.4,3.1,2.9,2.5,40%,53%,14%,씨에스리
304779,유등종합건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,유등종합건설
179467,성일운수(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,성일운수
261361,삼일개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,삼일개발
161151,백율엔지니어링(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,백율엔지니어링
371903,(주)도리도리,1.0,1,1.0,1.0,4.0,4.0,3.0,1.0,0%,0%,0%,도리도리
207567,원다하이테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,원다하이테크
319795,제이에이치글로벌,2.3,3,2.3,2.3,2.7,1.7,1.7,1.3,33%,33%,0%,제이에이치글로벌
11676,JW중외제약(주),2.7,799,2.7,2.8,2.8,2.4,2.7,2.2,36%,37%,14%,제이더블유
53057,(주)네오리진,2.6,74,2.6,2.5,3.2,2.5,2.4,1.9,22%,25%,3%,오리진
81225,데크씨에스피(주),2.5,2,2.5,2.0,3.5,2.0,3.0,2.0,0%,0%,0%,데크씨에스피
281949,(주)두오모,2.2,58,2.2,2.0,2.8,2.0,2.3,1.7,21%,23%,22%,두오모
306892,무한전력(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,무한전력
377489,(주)화일에이씨에스,1.3,9,1.3,1.3,2.1,1.4,1.1,1.0,0%,0%,0%,화일에이씨에스
414357,(주)백억전자,2.0,4,2.0,1.5,1.8,1.8,3.0,2.0,25%,50%,25%,백억전자
267854,성진이엔씨(주),2.6,5,2.6,1.8,2.8,2.4,1.8,2.0,0%,0%,0%,성진이엔씨
63378,(주)엠제이플렉스,2.8,402,2.8,2.5,2.7,2.5,2.4,2.4,40%,44%,16%,엠제이
342095,(주)눈사람이노베이션,3.3,4,3.3,2.8,3.8,4.3,2.8,2.8,25%,25%,25%,눈사람이노베이션
222706,동재공업(주),1.9,21,1.9,2.0,2.1,1.9,2.1,1.6,0%,19%,0%,동재공업
188426,대동정공(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대동정공
